                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.30003,                0.07998,                0.03338,                 0.1968,                0.79395,                0.97947,                0.95823,                0.98577,                0.68855,                0.89676,                0.87764,                 0.8887,                0.78435,                 1.2616,                 1.1501,                0.00322,                0.48161,                 1.3735,               0.006238,               0.006238,               0.006238
                     40,                0.29974,                0.07916,                 0.0328,                0.19742,                 0.7939,                0.97415,                0.95781,                0.97959,                0.68313,                0.87711,                0.86245,                0.86551,                0.74193,                 1.2572,                 1.3133,                 0.0028,                0.48106,                 1.3788,               0.006139,               0.006139,               0.006139
                     41,                0.29901,                0.07829,                0.03351,                0.19589,                0.79239,                0.97411,                0.95668,                0.98114,                0.69047,                0.88407,                0.86767,                0.87569,                0.75937,                 1.2223,                  1.293,                0.00304,                0.48155,                 1.3563,                0.00604,                0.00604,                0.00604
                     42,                0.29551,                0.07338,                0.03269,                0.19417,                0.79371,                0.96997,                0.95394,                0.98491,                 0.6974,                0.87227,                0.86104,                0.87788,                0.80133,                  1.217,                 1.2027,                 0.0031,                0.47197,                  1.323,               0.005941,               0.005941,               0.005941
                     43,                0.29411,                0.07765,                0.03328,                0.19526,                0.79433,                0.97377,                0.95549,                0.98361,                0.69002,                0.86148,                0.84627,                  0.859,                0.79719,                 1.2368,                 1.2747,                0.00365,                0.48531,                 1.3747,               0.005842,               0.005842,               0.005842
                     44,                0.29153,                0.07329,                0.03189,                0.19302,                0.79399,                0.97819,                0.95269,                0.98281,                0.69444,                0.86958,                0.84773,                0.83793,                0.77006,                 1.2372,                 1.2945,                0.00373,                0.48482,                 1.3552,               0.005743,               0.005743,               0.005743
                     45,                0.28724,                0.07237,                0.03126,                 0.1908,                0.79146,                0.96836,                0.94191,                0.98024,                0.69269,                0.87464,                 0.8508,                0.87203,                0.81082,                 1.2375,                 1.3512,                0.00249,                0.50327,                 1.3426,               0.005644,               0.005644,               0.005644
                     46,                0.28581,                0.07008,                0.03109,                0.19026,                0.79093,                0.95963,                0.93193,                0.96944,                0.67998,                0.86436,                0.85057,                0.85076,                0.73724,                 1.2493,                 1.3066,                0.00362,                0.50259,                 1.3683,               0.005545,               0.005545,               0.005545
                     47,                0.28317,                0.07088,                 0.0314,                0.19011,                0.79114,                0.96881,                0.95247,                0.98005,                 0.6811,                0.87139,                 0.8571,                0.85691,                0.78431,                 1.2457,                 1.2331,                0.00429,                0.48843,                 1.3532,               0.005446,               0.005446,               0.005446
                     48,                0.28028,                0.07005,                0.03043,                0.19002,                0.78994,                0.96232,                0.94841,                0.97435,                0.68191,                0.87409,                0.86117,                0.86457,                0.77134,                 1.2651,                 1.3215,                0.00309,                0.48126,                 1.4074,               0.005347,               0.005347,               0.005347
