                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                0.19987,                0.27827,                0.19042,                0.80072,                0.99958,                0.96021,                0.96774,                0.96755,                0.99958,                0.96021,                0.96774,                 0.9321,                0.12165,                0.22292,                0.12526,                 0.7607,               0.005941,               0.005941,               0.005941
                     43,                0.19736,                0.27468,                0.18292,                0.79975,                0.99981,                0.96021,                0.96991,                0.96973,                0.99981,                0.96021,                0.96991,                0.93104,                0.12762,                0.22544,                0.12072,                0.76353,               0.005842,               0.005842,               0.005842
                     44,                0.19655,                0.27525,                0.18225,                0.79914,                0.99974,                0.96021,                 0.9705,                0.97029,                0.99974,                0.96021,                 0.9705,                0.93261,                0.12758,                 0.2297,                 0.1222,                0.76418,               0.005743,               0.005743,               0.005743
                     45,                0.19562,                0.27289,                0.18233,                0.79851,                0.99966,                0.96021,                0.97212,                0.97203,                0.99966,                0.96021,                0.97212,                0.93594,                0.12139,                0.21804,                0.11895,                0.76133,               0.005644,               0.005644,               0.005644
                     46,                0.19291,                0.26941,                0.18051,                0.79868,                0.99968,                0.96008,                0.96567,                0.96503,                0.99968,                0.96008,                0.96567,                0.92362,                0.14078,                0.23604,                0.12646,                0.76599,               0.005545,               0.005545,               0.005545
                     47,                0.19138,                0.27141,                0.17908,                 0.7969,                0.99975,                0.96021,                  0.971,                0.97078,                0.99975,                0.96021,                  0.971,                0.93539,                0.11919,                 0.2213,                0.11191,                0.76047,               0.005446,               0.005446,               0.005446
                     48,                0.19108,                0.27154,                0.17788,                 0.7975,                 0.9997,                0.96021,                0.96961,                0.96958,                 0.9997,                0.96021,                0.96961,                0.93311,                0.11614,                0.21721,                0.11203,                0.75749,               0.005347,               0.005347,               0.005347
                     49,                 0.1898,                0.26735,                0.17451,                 0.7974,                0.99982,                0.96021,                0.97343,                0.97315,                0.99982,                0.96021,                0.97343,                0.93791,                0.11593,                0.22276,                0.11376,                0.76145,               0.005248,               0.005248,               0.005248
                     50,                0.18887,                0.27045,                0.17444,                0.79705,                0.99982,                0.96021,                0.97407,                0.97396,                0.99982,                0.96021,                0.97407,                0.93899,                0.12244,                0.21365,                0.12069,                0.76723,               0.005149,               0.005149,               0.005149
                     51,                0.18727,                0.26873,                0.17395,                0.79647,                 0.9998,                0.96021,                0.97426,                0.97423,                 0.9998,                0.96021,                0.97426,                0.93875,                0.11759,                0.22114,                0.11191,                0.76526,                0.00505,                0.00505,                0.00505
                     52,                0.18712,                0.26918,                0.17276,                0.79662,                0.99975,                0.96021,                0.97197,                0.97168,                0.99975,                0.96021,                0.97197,                0.93455,                0.12215,                0.22046,                0.11738,                0.76036,               0.004951,               0.004951,               0.004951
                     53,                0.18398,                0.26699,                0.17244,                0.79719,                0.99978,                0.96003,                 0.9736,                 0.9734,                0.99978,                0.96003,                 0.9736,                0.93814,                0.11588,                0.21632,                0.11013,                0.75997,               0.004852,               0.004852,               0.004852
                     54,                0.18414,                 0.2659,                0.16991,                0.79757,                0.99976,                0.96021,                 0.9722,                0.97213,                0.99976,                0.96021,                 0.9722,                0.93637,                0.11978,                0.21681,                0.11285,                0.75968,               0.004753,               0.004753,               0.004753
                     55,                 0.1825,                0.26775,                0.17109,                0.79582,                0.99977,                0.96021,                0.97352,                0.97336,                0.99977,                0.96021,                0.97352,                0.93812,                0.11605,                 0.2126,                0.11586,                0.76431,               0.004654,               0.004654,               0.004654
                     56,                0.18118,                0.26505,                0.16945,                0.79619,                0.99977,                0.96021,                0.97179,                0.97165,                0.99977,                0.96021,                0.97179,                0.93651,                 0.1147,                0.21184,                0.10992,                 0.7595,               0.004555,               0.004555,               0.004555
                     57,                0.18071,                 0.2628,                0.16664,                0.79658,                0.99978,                0.96017,                0.97097,                0.97083,                0.99978,                0.96017,                0.97097,                0.93686,                0.11247,                0.21215,                0.10578,                0.76154,               0.004456,               0.004456,               0.004456
                     58,                0.17838,                0.26045,                0.16242,                0.79568,                0.99979,                0.96021,                 0.9746,                0.97454,                0.99979,                0.96021,                 0.9746,                0.94156,                0.11139,                0.21181,                0.10447,                  0.759,               0.004357,               0.004357,               0.004357
                     59,                0.17721,                0.26127,                0.16521,                0.79632,                0.99974,                0.96021,                0.96951,                0.96949,                0.99974,                0.96021,                0.96951,                0.93659,                0.10685,                0.20912,                0.10344,                 0.7564,               0.004258,               0.004258,               0.004258
                     60,                0.17679,                0.25849,                0.16201,                0.79459,                0.99982,                0.96021,                0.97426,                0.97413,                0.99982,                0.96021,                0.97426,                0.94092,                0.11156,                0.21073,                0.10678,                0.76199,               0.004159,               0.004159,               0.004159
                     61,                0.17586,                 0.2572,                0.16125,                0.79499,                0.99975,                0.96021,                 0.9733,                 0.9732,                0.99975,                0.96021,                 0.9733,                0.94023,                0.10637,                0.20724,                0.10133,                0.75718,                0.00406,                0.00406,                0.00406
                     62,                0.17421,                0.26018,                0.15975,                0.79484,                0.99979,                0.96021,                0.97343,                0.97337,                0.99979,                0.96021,                0.97343,                0.94008,                  0.109,                 0.2115,                0.10246,                0.76213,               0.003961,               0.003961,               0.003961
                     63,                0.17424,                0.25898,                0.16043,                0.79505,                0.99978,                0.96021,                0.97255,                0.97248,                0.99978,                0.96021,                0.97255,                0.93951,                0.11068,                0.21185,                0.10521,                0.76411,               0.003862,               0.003862,               0.003862
                     64,                0.17475,                0.25741,                0.15922,                0.79483,                0.99977,                0.96013,                0.97161,                0.97135,                0.99977,                0.96013,                0.97161,                0.93748,                0.11525,                0.20874,                 0.1041,                0.75743,               0.003763,               0.003763,               0.003763
                     65,                0.17027,                0.25587,                0.15516,                0.79435,                0.99964,                0.96021,                0.96938,                0.96926,                0.99964,                0.96021,                0.96938,                0.93642,                 0.1117,                0.20495,                0.10662,                 0.7576,               0.003664,               0.003664,               0.003664
                     66,                0.17127,                0.25632,                0.15931,                0.79392,                0.99978,                0.96021,                0.97175,                0.97166,                0.99978,                0.96021,                0.97175,                0.93838,                0.10708,                0.20481,                0.10169,                0.75827,               0.003565,               0.003565,               0.003565
                     67,                0.16893,                0.25391,                0.15479,                0.79474,                0.99976,                0.96021,                0.96969,                0.96964,                0.99976,                0.96021,                0.96969,                0.93602,                0.10378,                0.20595,                0.09774,                0.75747,               0.003466,               0.003466,               0.003466
                     68,                0.16871,                0.25649,                0.15507,                0.79412,                0.99977,                0.96021,                0.97212,                0.97198,                0.99977,                0.96021,                0.97212,                0.94013,                0.10486,                0.20518,                0.09628,                0.75759,               0.003367,               0.003367,               0.003367
                     69,                0.16744,                0.25363,                0.15093,                0.79211,                 0.9998,                0.96021,                0.97416,                0.97409,                 0.9998,                0.96021,                0.97416,                0.94295,                0.10232,                0.20473,                  0.095,                0.75801,               0.003268,               0.003268,               0.003268
                     70,                0.16522,                0.25368,                 0.1491,                0.79295,                0.99972,                0.96016,                0.97383,                0.97369,                0.99972,                0.96016,                0.97383,                0.94055,                0.10498,                0.20269,                 0.1009,                0.76294,               0.003169,               0.003169,               0.003169
                     71,                0.16538,                0.25157,                0.15037,                0.79337,                0.99981,                0.96021,                0.97283,                0.97279,                0.99981,                0.96021,                0.97283,                0.94055,                0.10487,                0.20383,                0.10056,                0.75766,                0.00307,                0.00307,                0.00307
                     72,                0.16485,                0.25146,                0.14897,                0.79359,                0.99978,                0.96021,                0.97175,                0.97157,                0.99978,                0.96021,                0.97175,                0.94047,                0.10299,                0.20348,                0.09624,                0.75717,               0.002971,               0.002971,               0.002971
                     73,                0.16377,                0.24888,                0.14557,                0.79442,                0.99981,                0.96021,                0.97338,                0.97331,                0.99981,                0.96021,                0.97338,                0.94116,                0.10436,                0.20144,                0.09421,                0.75594,               0.002872,               0.002872,               0.002872
                     74,                0.16337,                0.25066,                 0.1471,                0.79422,                0.99981,                0.96021,                0.97267,                0.97253,                0.99981,                0.96021,                0.97267,                0.94083,                0.10039,                0.20013,                0.09756,                0.75721,               0.002773,               0.002773,               0.002773
                     75,                0.16301,                0.25171,                0.14498,                0.79427,                0.99985,                0.96021,                0.97165,                0.97152,                0.99985,                0.96021,                0.97165,                0.94002,                0.10134,                0.20064,                0.09744,                 0.7576,               0.002674,               0.002674,               0.002674
                     76,                0.16311,                0.25102,                 0.1436,                0.79217,                0.99986,                0.95995,                0.97365,                0.97359,                0.99986,                0.95995,                0.97365,                0.94134,                0.09833,                0.19952,                0.09098,                0.75497,               0.002575,               0.002575,               0.002575
                     77,                0.16097,                0.24836,                0.14266,                0.79264,                0.99972,                0.96021,                 0.9722,                0.97218,                0.99972,                0.96021,                 0.9722,                0.93975,                0.10173,                0.20061,                0.08964,                0.75513,               0.002476,               0.002476,               0.002476
                     78,                0.15801,                0.24454,                0.13951,                0.78967,                0.99976,                0.96021,                0.97161,                0.97157,                0.99976,                0.96021,                0.97161,                0.93867,                0.10218,                0.19974,                0.08917,                0.75488,               0.002377,               0.002377,               0.002377
                     79,                0.15885,                0.24635,                0.14013,                0.79347,                 0.9998,                0.96021,                0.97426,                0.97419,                 0.9998,                0.96021,                0.97426,                0.94261,                0.09601,                0.19612,                0.08975,                0.75674,               0.002278,               0.002278,               0.002278
                     80,                0.15779,                0.24606,                0.13825,                0.79398,                0.99982,                0.96021,                 0.9747,                0.97467,                0.99982,                0.96021,                 0.9747,                0.94364,                0.09965,                 0.1991,                0.09168,                0.75936,               0.002179,               0.002179,               0.002179
                     81,                0.15667,                0.24465,                 0.1389,                0.79116,                0.99977,                0.96021,                0.97338,                0.97326,                0.99977,                0.96021,                0.97338,                0.94117,                0.10218,                0.19979,                0.09598,                0.75717,                0.00208,                0.00208,                0.00208
                     82,                0.15629,                0.24485,                0.13724,                 0.7937,                 0.9998,                0.96021,                0.97481,                0.97474,                 0.9998,                0.96021,                0.97481,                0.94405,                0.09678,                0.19517,                0.08946,                0.75915,               0.001981,               0.001981,               0.001981
                     83,                0.15483,                0.24433,                0.13547,                0.79205,                0.99982,                0.96021,                0.97321,                0.97315,                0.99982,                0.96021,                0.97321,                0.94204,                 0.0982,                0.19659,                0.08868,                0.75672,               0.001882,               0.001882,               0.001882
                     84,                0.15346,                0.24316,                0.13433,                0.79025,                0.99982,                0.96021,                0.97283,                0.97272,                0.99982,                0.96021,                0.97283,                 0.9417,                0.09727,                0.19323,                0.08838,                0.75692,               0.001783,               0.001783,               0.001783
                     85,                0.15355,                0.24175,                0.13384,                0.79202,                 0.9998,                0.96021,                0.97179,                0.97176,                 0.9998,                0.96021,                0.97179,                0.94033,                0.09554,                0.19459,                0.08564,                0.75592,               0.001684,               0.001684,               0.001684
                     86,                0.15301,                0.24129,                0.13422,                 0.7921,                0.99984,                0.96021,                0.97455,                0.97454,                0.99984,                0.96021,                0.97455,                0.94366,                0.09664,                0.19341,                0.08655,                0.75648,               0.001585,               0.001585,               0.001585
                     87,                0.15296,                0.24302,                0.13141,                0.79291,                0.99981,                0.96021,                0.97393,                0.97389,                0.99981,                0.96021,                0.97393,                  0.942,                0.09725,                0.19535,                0.08562,                0.75658,               0.001486,               0.001486,               0.001486
                     88,                0.15135,                0.24111,                0.12987,                0.79201,                0.99981,                0.96021,                0.97343,                0.97338,                0.99981,                0.96021,                0.97343,                 0.9426,                0.09489,                0.19412,                 0.0846,                0.75538,               0.001387,               0.001387,               0.001387
                     89,                0.14956,                0.23867,                 0.1297,                0.79182,                0.99981,                0.96021,                0.97321,                0.97318,                0.99981,                0.96021,                0.97321,                0.94289,                0.09404,                0.19097,                0.08423,                0.75577,               0.001288,               0.001288,               0.001288
                     90,                0.14838,                0.23875,                 0.1286,                0.79192,                0.99981,                0.96021,                0.97507,                0.97504,                0.99981,                0.96021,                0.97507,                  0.945,                0.09469,                0.19328,                0.08334,                0.75571,               0.001189,               0.001189,               0.001189
                     91,                0.14957,                0.23913,                0.12829,                0.79146,                0.99981,                0.96021,                0.97431,                0.97428,                0.99981,                0.96021,                0.97431,                0.94317,                0.09426,                0.19153,                0.08242,                0.75585,                0.00109,                0.00109,                0.00109
                     92,                0.14658,                0.23298,                0.12461,                0.79143,                0.99983,                0.96021,                 0.9744,                0.97437,                0.99983,                0.96021,                 0.9744,                 0.9435,                0.09439,                0.19129,                0.08316,                0.75419,               0.000991,               0.000991,               0.000991
                     93,                0.14552,                 0.2359,                 0.1239,                0.79061,                0.99979,                0.96021,                0.97296,                 0.9729,                0.99979,                0.96021,                0.97296,                0.94233,                0.09375,                0.19079,                0.08241,                0.75408,               0.000892,               0.000892,               0.000892
                     94,                0.14612,                  0.236,                0.12394,                0.79022,                0.99981,                0.96021,                0.97168,                0.97167,                0.99981,                0.96021,                0.97168,                0.94159,                 0.0897,                0.18876,                0.08185,                0.75498,               0.000793,               0.000793,               0.000793
                     95,                0.14569,                0.23479,                0.12254,                0.79084,                0.99983,                0.96021,                0.97416,                0.97413,                0.99983,                0.96021,                0.97416,                0.94357,                0.09167,                0.18886,                0.08228,                0.75488,               0.000694,               0.000694,               0.000694
                     96,                0.14373,                 0.2314,                 0.1218,                0.79142,                0.99986,                0.96021,                0.97512,                0.97507,                0.99986,                0.96021,                0.97512,                0.94514,                0.09192,                0.18915,                0.08059,                0.75635,               0.000595,               0.000595,               0.000595
                     97,                0.14325,                0.23059,                 0.1205,                0.78906,                0.99984,                0.96021,                0.97431,                0.97429,                0.99984,                0.96021,                0.97431,                 0.9442,                0.09129,                0.18857,                 0.0802,                0.75453,               0.000496,               0.000496,               0.000496
                     98,                0.14341,                0.23306,                0.11959,                0.79056,                0.99984,                0.96021,                0.97465,                0.97463,                0.99984,                0.96021,                0.97465,                0.94393,                0.09017,                0.18796,                0.08047,                0.75412,               0.000397,               0.000397,               0.000397
                     99,                0.14336,                0.23163,                 0.1197,                0.79007,                0.99983,                0.96021,                0.97426,                0.97425,                0.99983,                0.96021,                0.97426,                0.94459,                0.09004,                0.18774,                0.07991,                0.75442,               0.000298,               0.000298,               0.000298
