                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                 1.2383,                 1.6911,                0.35583,                0.62603,                 1.0061,                0.96618,                0.97059,                0.97043,                0.59185,                0.88136,                0.88235,                0.86647,                 0.4697,                 1.3585,                 2.1779,                0.21433,                0.56973,                 1.0505,               0.013917,              0.0089169,              0.0089169
                     32,                 1.2504,                 1.2742,                0.34972,                0.61971,                 1.0182,                0.96618,                0.97059,                0.97043,                0.59185,                0.88136,                0.88235,                0.86647,                 0.4697,                 1.3585,                 2.1779,                0.21433,                0.56973,                 1.0505,               0.011179,              0.0091791,              0.0091791
                     33,                 1.1938,                 1.5583,                0.31449,                0.59531,                 1.0069,                0.99768,                      1,                  0.995,                0.57868,                0.89534,                0.88235,                0.86944,                0.54898,                 1.3806,                 1.8718,                0.19324,                0.56539,                 1.0497,              0.0093466,              0.0093466,              0.0093466
                     34,                 1.2372,                 1.4405,                 0.3466,                0.60166,                 1.0434,                0.99337,                      1,                  0.995,                0.58438,                0.93925,                0.90953,                0.90457,                0.50721,                 1.3325,                  1.999,                0.18663,                0.60122,                   1.04,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.2664,                 1.2539,                0.35949,                0.61948,                 1.0274,                0.97049,                0.96726,                 0.9625,                0.52648,                0.89349,                0.88235,                 0.8595,                 0.4249,                  1.571,                 2.3959,                0.17934,                0.62318,                 1.1106,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.2968,                 1.2452,                0.34757,                0.60507,                 1.0973,                0.97049,                0.96726,                 0.9625,                0.52648,                0.89349,                0.88235,                 0.8595,                 0.4249,                  1.571,                 2.3959,                0.17934,                0.62318,                 1.1106,               0.009307,               0.009307,               0.009307
                     37,                 1.2006,                 1.0082,                0.32842,                0.60653,                 1.0264,                0.99753,                      1,                  0.995,                0.62835,                0.88017,                0.88235,                0.87768,                0.51971,                 1.2761,                 1.9748,                0.17322,                0.56685,                 1.0289,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.2164,                 1.1402,                0.31183,                0.59412,                 1.0217,                0.99743,                      1,                  0.995,                0.58222,                0.86741,                0.85294,                0.83321,                0.37348,                 1.4406,                 2.4818,                0.15993,                0.57286,                 1.0669,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.2441,                 1.3447,                0.32384,                0.59031,                 1.0442,                0.99128,                      1,                  0.995,                0.67817,                0.90365,                0.91176,                0.90799,                0.53956,                  1.247,                 1.8447,                0.15705,                0.56008,                 1.0061,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.1542,                 1.1463,                0.34955,                0.59867,                 1.0167,                0.99128,                      1,                  0.995,                0.67817,                0.90365,                0.91176,                0.90799,                0.53956,                  1.247,                 1.8447,                0.15705,                0.56008,                 1.0061,              0.0092278,              0.0092278,              0.0092278
