                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                0.27695,                 0.4388,                0.24445,                 0.8159,                0.97177,                0.95296,                0.98361,                0.96754,                0.97177,                0.95296,                0.98361,                0.89399,                0.21038,                0.43189,                0.21214,                0.78065,                0.00604,                0.00604,                0.00604
                     42,                0.27412,                0.43809,                0.24311,                0.81134,                0.94732,                0.96442,                0.98691,                0.97772,                0.93507,                0.95053,                0.97279,                0.89651,                0.18277,                  0.417,                0.20272,                0.77697,               0.005941,               0.005941,               0.005941
                     43,                0.29557,                 0.4414,                0.24704,                0.81818,                0.95645,                0.96816,                0.98995,                0.98626,                0.94417,                0.95427,                0.97355,                0.90631,                0.18167,                0.40273,                0.19237,                0.77646,               0.005842,               0.005842,               0.005842
                     44,                0.26798,                0.41106,                0.23465,                  0.812,                0.96963,                0.97373,                 0.9882,                0.97819,                0.95736,                0.95984,                0.97435,                0.89472,                 0.2057,                0.43663,                0.19205,                0.77809,               0.005743,               0.005743,               0.005743
                     45,                0.27042,                0.43598,                0.23203,                0.80964,                0.96538,                  0.974,                0.98755,                0.98461,                0.96538,                  0.974,                0.98755,                0.90654,                0.17798,                0.39214,                0.17868,                0.77747,               0.005644,               0.005644,               0.005644
                     46,                0.27396,                 0.4184,                0.24099,                0.80814,                0.96475,                0.97567,                0.97967,                0.96764,                0.96475,                0.97567,                0.97967,                0.87774,                0.20463,                0.46884,                0.19204,                0.78154,               0.005545,               0.005545,               0.005545
                     47,                0.25267,                0.39114,                0.22418,                0.80845,                 0.9685,                0.97118,                0.98221,                 0.9788,                 0.9685,                0.97118,                0.98221,                0.90528,                0.17618,                0.39207,                0.18446,                0.77777,               0.005446,               0.005446,               0.005446
                     48,                0.25957,                0.39334,                0.22679,                0.80618,                0.96431,                0.97988,                0.98886,                0.98669,                0.96431,                0.97988,                0.98886,                0.91711,                0.17383,                0.35352,                0.17536,                0.77667,               0.005347,               0.005347,               0.005347
                     49,                0.26667,                0.40071,                0.22196,                0.80666,                0.96767,                 0.9727,                0.98571,                0.97902,                0.96767,                 0.9727,                0.98571,                0.91861,                0.21934,                 0.4187,                0.19782,                0.78302,               0.005248,               0.005248,               0.005248
                     50,                0.26604,                0.41212,                0.22616,                0.81216,                0.96764,                 0.9729,                0.98432,                0.97866,                0.96764,                 0.9729,                0.98432,                0.92344,                0.17589,                0.35185,                 0.1795,                0.77783,               0.005149,               0.005149,               0.005149
                     51,                0.27489,                 0.4328,                0.22829,                0.80464,                0.96345,                0.96841,                0.97716,                0.96012,                0.96345,                0.96841,                0.97716,                0.81343,                0.22603,                0.63746,                0.21065,                0.78314,                0.00505,                0.00505,                0.00505
