                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.40636,                0.20462,                0.26718,                 0.1868,                0.85644,                0.76715,                      1,                0.84149,                0.78095,                0.76715,                      1,                0.84149,                0.83079,                 0.4072,                0.15827,                0.22747,                0.57106,                0.84778,             0.00092674,             0.00092674,             0.00092674
                     39,                0.42272,                0.18443,                0.27927,                0.19449,                0.86031,                0.76728,                      1,                0.85091,                0.79655,                0.76728,                      1,                0.85091,                 0.8428,                0.37419,                 0.1553,                0.21875,                0.56409,                0.82612,             0.00092476,             0.00092476,             0.00092476
                     40,                0.39916,                0.19161,                0.26403,                0.19231,                 0.8435,                0.76748,                      1,                0.84118,                0.78844,                0.76748,                      1,                0.84118,                0.84118,                 0.3801,                0.15542,                0.21214,                0.56338,                0.82779,             0.00092278,             0.00092278,             0.00092278
                     41,                0.38621,                 0.1566,                0.23216,                0.17236,                0.82944,                0.76779,                      1,                0.85198,                 0.7922,                0.76779,                      1,                0.85198,                0.85198,                0.39492,                0.15321,                 0.2064,                0.56237,                0.83916,              0.0009208,              0.0009208,              0.0009208
                     42,                0.41473,                0.24517,                0.27947,                0.18673,                 0.8758,                 0.7677,                      1,                0.83355,                0.77756,                 0.7677,                      1,                0.83355,                0.82574,                 0.4133,                0.15013,                0.20491,                0.58948,                0.84071,             0.00091882,             0.00091882,             0.00091882
                     43,                0.39386,                0.17962,                0.28521,                0.17881,                0.83196,                0.76759,                      1,                0.82679,                 0.7666,                0.76759,                      1,                0.82679,                0.82679,                0.38626,                0.14044,                0.19667,                0.57847,                0.83737,             0.00091684,             0.00091684,             0.00091684
                     44,                0.42147,                0.23486,                0.27362,                0.19189,                0.85255,                0.76759,                      1,                0.81086,                0.75684,                0.76759,                      1,                0.81086,                0.80121,                  0.385,                0.13592,                0.19407,                0.58194,                0.82995,             0.00091486,             0.00091486,             0.00091486
                     45,                0.40655,                0.21917,                0.27706,                0.18108,                0.85873,                0.76762,                      1,                0.78247,                0.73149,                0.76762,                      1,                0.78247,                0.77476,                0.38114,                0.13222,                0.19107,                0.58531,                0.82257,             0.00091288,             0.00091288,             0.00091288
                     46,                0.41967,                0.20327,                  0.296,                 0.1887,                0.85362,                0.76779,                      1,                0.84244,                0.77336,                0.76779,                      1,                0.84244,                0.84244,                0.39559,                0.12961,                0.18595,                0.58523,                0.82542,              0.0009109,              0.0009109,              0.0009109
                     47,                0.40037,                0.18659,                0.25699,                0.17644,                 0.8498,                0.76763,                      1,                0.76538,                0.72376,                0.76763,                      1,                0.76538,                0.76538,                0.34315,                0.11876,                0.18105,                0.57614,                0.80844,             0.00090892,             0.00090892,             0.00090892
                     48,                  0.349,                 0.2088,                0.23672,                0.16792,                 0.8334,                0.76762,                      1,                0.78731,                0.74597,                0.76762,                      1,                0.78731,                0.78731,                0.34091,                0.11568,                0.17784,                0.57624,                0.80563,             0.00090694,             0.00090694,             0.00090694
                     49,                0.41616,                0.17871,                0.26415,                0.19049,                 0.8427,                0.76761,                      1,                0.80782,                0.75838,                0.76761,                      1,                0.80782,                0.80782,                 0.3348,                0.11003,                 0.1736,                0.57811,                0.80357,             0.00090496,             0.00090496,             0.00090496
                     50,                0.42104,                0.11808,                0.23278,                0.18171,                0.84693,                0.76764,                      1,                0.79671,                 0.7406,                0.76764,                      1,                0.79671,                0.79671,                0.33977,                0.10649,                 0.1699,                0.57849,                0.80579,             0.00090298,             0.00090298,             0.00090298
                     51,                0.34151,                0.14198,                0.23905,                0.16234,                0.81084,                0.76767,                      1,                0.82833,                0.76649,                0.76767,                      1,                0.82833,                0.82833,                0.34875,                0.10118,                0.16305,                0.58356,                0.81338,               0.000901,               0.000901,               0.000901
                     52,                0.37623,                0.17238,                0.24309,                0.17448,                 0.8456,                0.76759,                      1,                0.84605,                0.80359,                0.76759,                      1,                0.84605,                0.84605,                 0.3349,                0.09712,                0.16137,                0.59746,                0.80736,             0.00089902,             0.00089902,             0.00089902
                     53,                0.44521,                0.18259,                 0.2692,                0.19622,                0.86851,                0.76758,                      1,                0.83914,                 0.7953,                0.76758,                      1,                0.83914,                0.83914,                 0.3341,                0.09374,                0.15759,                0.58788,                0.80756,             0.00089704,             0.00089704,             0.00089704
                     54,                0.38991,                0.15005,                0.24479,                0.18071,                0.82752,                 0.7676,                      1,                0.80187,                0.75045,                 0.7676,                      1,                0.80187,                0.80187,                0.34889,                0.09453,                0.15329,                0.59351,                0.81861,             0.00089506,             0.00089506,             0.00089506
